Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
Tunis,Sidi El Bechir,Sidi El Bechir,Sale,2-room apartment,70.0,120000.0,06/10/2023
Sousse,Akouda,Akouda,Sale,2-room apartment,74.0,230000.0,05/10/2023
Tunis,La Marsa,La Marsa,Rental,Houses,400.0,6500.0,30/10/2023
Tunis,Carthage,Carthage,Rental,Surfaces,180.0,1400.0,02/11/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,3-room apartment,145.0,160000.0,26/06/2022
Tunis,La Marsa,La Marsa,Rental,2-room apartment,120.0,1500.0,18/09/2023
Tunis,El Menzah,El Menzah,Rental,Other,1796.0,300.0,25/04/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Duplex,220.0,570000.0,05/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Vacation rental,2-room apartment,65.0,150.0,02/06/2023
Tunis,Le Bardo,Le Bardo,Rental,Other,65.0,650.0,17/11/2023
Ariana,Mnihla,Mnihla,Rental,4-room apartment,350.0,1300.0,11/11/2023
Sousse,Bou Ficha,Bou Ficha,Land,Vacant land,713.0,110000.0,04/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,296.0,900000.0,20/10/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,420.0,630000.0,16/10/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,95.0,270000.0,07/06/2023
Nabeul,Kelibia,Kelibia,Land,Vacant land,700.0,175000.0,16/10/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,130.0,277000.0,23/10/2023
Ben arous,Rades,Rades,Offices & Shops,"Workshop, Garage",2000.0,12000.0,03/10/2023
Tunis,El Menzah,El Menzah,Rental,2-room apartment,80.0,1000.0,15/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,2-room apartment,111.0,195000.0,09/11/2023
Mahdia,Mahdia,Mahdia,Land,Vacant land,2632.0,920000.0,14/09/2023
Ben arous,Mohamadia,Mohamadia,Land,Agricultural land,6449.0,650000.0,06/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,280.0,850000.0,20/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,140.0,2500.0,07/09/2023
Ariana,La Soukra,La Soukra,Sale,Houses,280.0,500000.0,08/09/2023
Ariana,Raoued,Raoued,Sale,Houses,175.0,570000.0,29/03/2023
Medenine,Medenine Sud,Medenine Sud,Land,Agricultural land,60000.0,250000.0,15/08/2023
Tunis,Ettahrir,Ettahrir,Sale,5-room apartment and more,150.0,268000.0,13/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1200000.0,16/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,450.0,1520000.0,29/11/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,60.0,1200.0,19/08/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,165.0,2000.0,03/10/2023
Sousse,Kalaa Essghira,Kalaa Essghira,Land,Vacant land,1153.0,86475.0,08/11/2023
Monastir,Monastir,Monastir,Rental,2-room apartment,45.0,400.0,20/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,320.0,1250000.0,29/09/2023
Nabeul,Hammamet,Hammamet,Rental,4-room apartment,140.0,1300.0,16/11/2023
Tunis,Cite El Khadra,Cite El Khadra,Rental,3-room apartment,80.0,850.0,12/09/2023
Tunis,El Hrairia,El Hrairia,Sale,Surfaces,296.0,3500000.0,30/10/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,303.0,90900.0,02/09/2023
Ben arous,El Mourouj,El Mourouj,Rental,2-room apartment,1.0,450.0,28/10/2023
Sousse,Akouda,Akouda,Sale,3-room apartment,85.0,240000.0,07/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,310.0,1200000.0,28/10/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,90.0,750.0,30/11/2023
Tunis,El Omrane Superieur,El Omrane Superieur,Sale,Houses,101.0,310000.0,02/12/2023
Tunis,Cite El Khadra,Cite El Khadra,Rental,2-room apartment,65.0,2300.0,19/03/2018
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,567.0,930000.0,30/11/2023
Tunis,El Ouerdia,El Ouerdia,Sale,Other,660.0,1207500.0,25/10/2023
Zaghouan,Zaghouan,Zaghouan,Land,Agricultural land,82000.0,55000.0,08/11/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Free management,27.0,1500.0,27/11/2023
Ariana,La Soukra,La Soukra,Offices & Shops,Office,700.0,9000.0,05/01/2022
Tunis,La Marsa,La Marsa,Land,Vacant land,496.0,992000.0,20/11/2023
